x,y,z,Ex,Ey,Ez
-0.00025,-0.000125,0.00021874999999999998,-6.696544890416985,4.644411934592997,7.316777236494144
-0.00025,-0.000125,0.00025,-6.694947305883109,4.644256037030018,7.158830995243759
-0.00025,-9.375e-05,-0.00025,-6.710266791723356,4.37174138112986,9.782024584981345
-0.00025,-9.375e-05,-0.00021875,-6.709919285151817,4.372695785541002,9.611691669266785
-0.00025,-9.375e-05,-0.0001875,-6.7094892344334625,4.373571341704233,9.44226598946735
-0.00025,-9.375e-05,-0.00015625,-6.708976498836858,4.374368069703618,9.273735033410588
-0.00025,-9.375e-05,-0.000125,-6.708380943883263,4.3750859923035454,9.106086310111094
-0.00025,-9.375e-05,-9.375e-05,-6.707702441345987,4.37572513495101,8.939307350168926
-0.00025,-9.375e-05,-6.25e-05,-6.706940869249364,4.376285525777763,8.773385706163424
-0.00025,-9.375e-05,-3.125e-05,-6.706096111867306,4.37676719560218,8.608308953042577
-0.00025,-9.375e-05,0.0,-6.7051680597214505,4.377170177930918,8.444064688507902
-0.00025,-9.375e-05,3.125000000000003e-05,-6.704156609578908,4.377494508960329,8.28064053339489
-0.00025,-9.375e-05,6.25e-05,-6.703061664449584,4.377740227577681,8.118024132049204
-0.00025,-9.375e-05,9.374999999999997e-05,-6.701883133583118,4.377907375362085,7.956203152698595
-0.00025,-9.375e-05,0.000125,-6.700620932465398,4.377995996585246,7.795165287820577
-0.00025,-9.375e-05,0.00015625000000000003,-6.699274982814673,4.378006138211936,7.634898254506
-0.00025,-9.375e-05,0.0001875,-6.6978452125772705,4.377937849900306,7.475389794818577
-0.00025,-9.375e-05,0.00021874999999999998,-6.69633155592289,4.37779118400185,7.31662767615035
-0.00025,-9.375e-05,0.00025,-6.6947339532395205,4.377566195561299,7.15859969157325
-0.00025,-6.25e-05,-0.00025,-6.7099832267208654,4.107437526813611,9.782929663431867
-0.00025,-6.25e-05,-0.00021875,-6.709635643833275,4.108217966553172,9.612521431265467
-0.00025,-6.25e-05,-0.0001875,-6.709205522052083,4.108926632685161,9.44302044755673
-0.00025,-6.25e-05,-0.00015625,-6.7086927206430085,4.109563532881438,9.274414202805115
-0.00025,-6.25e-05,-0.000125,-6.708097105124278,4.110128677479815,9.106690208699357
-0.00025,-6.25e-05,-9.375e-05,-6.707418547266062,4.110622079485836,8.9398359985157
-0.00025,-6.25e-05,-6.25e-05,-6.706656925089364,4.111043754574623,8.773839127511495
-0.00025,-6.25e-05,-3.125e-05,-6.705812122864665,4.111393721092298,8.608687173314284
-0.00025,-6.25e-05,0.0,-6.704884031109991,4.111672000057271,8.444367736306496
-0.00025,-6.25e-05,3.125000000000003e-05,-6.7038725465887135,4.111878615161286,8.280868440005658
-0.00025,-6.25e-05,6.25e-05,-6.702777572306841,4.1120135927702535,8.118176931440372
-0.00025,-6.25e-05,9.374999999999997e-05,-6.701599017509985,4.112076961924855,7.956280881521984
-0.00025,-6.25e-05,0.000125,-6.700336797679823,4.112068754340929,7.795167985412057
-0.00025,-6.25e-05,0.00015625000000000003,-6.6989908345302975,4.111989004409615,7.634825962885713
-0.00025,-6.25e-05,0.0001875,-6.697561056003236,4.111837749197373,7.475242558690916
-0.00025,-6.25e-05,0.00021874999999999998,-6.696047396263725,4.11161502844556,7.316405542903723
-0.00025,-6.25e-05,0.00025,-6.694449795694964,4.111320884570087,7.158302711279616
-0.00025,-3.125e-05,-0.00025,-6.709628554825807,3.8435602734471415,9.783657254776136
-0.00025,-3.125e-05,-0.00021875,-6.709280905028454,3.844166784179793,9.613180783875768
-0.00025,-3.125e-05,-0.0001875,-6.7088507223034215,3.844708589718668,9.443611561568718
-0.00025,-3.125e-05,-0.00015625,-6.708337865915518,3.845185685320284,9.274937081012311
-0.00025,-3.125e-05,-0.000125,-6.70774220138189,3.845598068892925,9.107144856555008
-0.00025,-3.125e-05,-9.375e-05,-6.707063600471374,3.8459457409981983,8.940222424134392
-0.00025,-3.125e-05,-6.25e-05,-6.706301941203457,3.846228704852334,8.774157341670513
-0.00025,-3.125e-05,-3.125e-05,-6.705457107846865,3.8464469663272647,8.608937189454846
-0.00025,-3.125e-05,0.0,-6.704528990917659,3.8466005339515443,8.444549570534699
-0.00025,-3.125e-05,3.125000000000003e-05,-6.703517487177028,3.8466894189109944,8.280982111093252
-0.00025,-3.125e-05,6.25e-05,-6.70242249962858,3.846713635049194,8.118222460825285
-0.00025,-3.125e-05,9.374999999999997e-05,-6.701243937515306,3.8466731988677063,7.956258293308643
-0.00025,-3.125e-05,0.000125,-6.699981716316062,3.846568129526154,7.7950773063715015
-0.00025,-3.125e-05,0.00015625000000000003,-6.698635757741715,3.8463984488420095,7.6346672224554695
-0.00025,-3.125e-05,0.0001875,-6.697205989730847,3.8461641812902396,7.475015788974682
-0.00025,-3.125e-05,0.00021874999999999998,-6.69569234644504,3.8458653540027203,7.3161107786708275
-0.00025,-3.125e-05,0.00025,-6.694094768263816,3.8455019967673905,7.157939989964238
-0.00025,0.0,-0.00025,-6.709202717976483,3.5800914350208686,9.784207400005315
-0.00025,0.0,-0.00021875,-6.708855010670237,3.5805240569090486,9.613669761932806
-0.00025,0.0,-0.0001875,-6.70842477711574,3.580899035928697,9.444039360179428
-0.00025,0.0,-0.00015625,-6.707911876578934,3.5812163549184532,9.275303690546643
